📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_205148/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
    177      |    941.47    |    -26.60    |    -30.06    |      29      |  ✅ Success  
    178      |    675.22    |   -136.65    |   -133.36    |     122      |  ✅ Success  
    179      |    914.52    |    -37.69    |    -39.74    |      35      |  ✅ Success  
    180      |    917.27    |    -38.69    |    -39.18    |      37      |  ✅ Success  
  📊 统计 [Ep 180]: Actor Loss=-13.8568, Critic Loss=135.8192, Alpha=0.2533, TD-error=10.1562, Beta=1.0000
    181      |    874.27    |    -65.10    |    -50.07    |      44      |  ✅ Success  
    182      |    300.81    |   -310.74    |   -288.47    |     245      |  ✅ Success  
    183      |    889.99    |    -53.72    |    -53.62    |      46      |  ✅ Success  
    184      |    294.84    |   -253.43    |   -235.74    |     205      |  ✅ Success  
    185      |    939.55    |    -27.24    |    -28.86    |      27      |  ✅ Success  
    186      |    952.59    |    -25.07    |    -22.75    |      20      |  ✅ Success  
    187      |    943.99    |    -26.21    |    -27.22    |      24      |  ✅ Success  
    188      |   -955.58    |   -753.48    |   -1189.06   |     643      |  ✅ Success  
    189      |    893.79    |    -46.75    |    -51.19    |      44      |  ✅ Success  
    190      |    924.15    |    -40.10    |    -34.43    |      34      |  ✅ Success  
  📊 统计 [Ep 190]: Actor Loss=-34.4884, Critic Loss=218.5520, Alpha=0.3164, TD-error=14.3395, Beta=1.0000
    191      |    911.60    |    -46.93    |    -37.59    |      33      |  ✅ Success  
    192      |    875.17    |    -50.15    |    -49.60    |      44      |  ✅ Success  
    193      |    429.87    |   -247.01    |   -246.72    |     219      |  ✅ Success  
    194      |    944.35    |    -26.95    |    -28.66    |      23      |  ✅ Success  
    195      |    944.73    |    -27.40    |    -27.66    |      26      |  ✅ Success  
    196      |    701.44    |   -141.33    |   -143.32    |     126      |  ✅ Success  
    197      |   -219.18    |   -402.18    |   -387.44    |     331      |  ✅ Success  
    198      |    883.37    |    -55.84    |    -49.55    |      44      |  ✅ Success  
    199      |    925.50    |    -33.26    |    -35.80    |      31      |  ✅ Success  
    200      |    537.13    |   -223.82    |   -237.09    |     198      |  ✅ Success  
