
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 2 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/2follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/2follower/training_20251025_160056.log
============================================================

Episode 178, Steps:   65, Total:  660.50, Leader:  769.50, [F0: -50.77, F1: -58.23] - ✓ success
Episode 179, Steps:   40, Total:  861.46, Leader:  902.01, [F0: -20.43, F1: -20.12] - ✓ success
Episode 180, Steps:   36, Total:  901.61, Leader:  923.18, [F0: -21.30, F1: -0.27] - ✓ success
Episode 181, Steps:   39, Total:  859.90, Leader:  902.52, [F0: -32.10, F1: -10.51] - ✓ success
Episode 182, Steps:   37, Total:  897.17, Leader:  923.51, [F0: -31.81, F1: 5.47] - ✓ success
Episode 183, Steps:   37, Total:  863.38, Leader:  909.11, [F0: -39.04, F1: -6.69] - ✓ success
Episode 184, Steps:   49, Total:  858.24, Leader:  873.68, [F0: -9.59, F1: -5.84] - ✓ success
Episode 185, Steps:   13, Total: -542.33, Leader: -543.29, [F0: 2.58, F1: -1.62] - ✗ failure
Episode 186, Steps:   68, Total:  801.69, Leader:  835.57, [F0: -14.55, F1: -19.34] - ✓ success
Episode 187, Steps:  213, Total: -201.70, Leader:   67.41, [F0: -149.57, F1: -119.54] - ✓ success
Episode 188, Steps:   47, Total:  818.64, Leader:  863.94, [F0: -38.78, F1: -6.53] - ✓ success
Episode 189, Steps:   46, Total:  848.22, Leader:  873.13, [F0: -16.89, F1: -8.02] - ✓ success
Episode 190, Steps:   51, Total:  834.45, Leader:  850.17, [F0: -6.47, F1: -9.25] - ✓ success
Episode 191, Steps:    4, Total: -518.45, Leader: -515.54, [F0: -0.48, F1: -2.43] - ✗ failure
Episode 192, Steps:   29, Total:  893.71, Leader:  939.57, [F0: -31.59, F1: -14.26] - ✓ success
Episode 193, Steps:   23, Total: -582.58, Leader: -580.50, [F0: -12.85, F1: 10.77] - ✗ failure
Episode 194, Steps:   52, Total:  837.82, Leader:  865.12, [F0: -12.83, F1: -14.46] - ✓ success
Episode 195, Steps:   59, Total:  833.09, Leader:  865.69, [F0: -20.59, F1: -12.00] - ✓ success
Episode 196, Steps:   34, Total:  893.74, Leader:  930.92, [F0: -24.27, F1: -12.91] - ✓ success
Episode 197, Steps:   37, Total:  871.39, Leader:  917.20, [F0: -25.23, F1: -20.59] - ✓ success
Episode 198, Steps:   37, Total:  865.45, Leader:  907.11, [F0: -30.46, F1: -11.20] - ✓ success
Episode 199, Steps:   67, Total:  705.36, Leader:  788.82, [F0: -58.48, F1: -24.98] - ✓ success
Episode 200, Steps:   40, Total:  916.47, Leader:  916.92, [F0: 0.55, F1: -1.00] - ✓ success
Episode 201, Steps:   63, Total:  777.94, Leader:  790.54, [F0: -16.73, F1: 4.13] - ✓ success
Episode 202, Steps:   58, Total:  850.33, Leader:  842.55, [F0: 4.71, F1: 3.07] - ✓ success
Episode 203, Steps:   47, Total:  856.12, Leader:  872.24, [F0: -16.97, F1: 0.85] - ✓ success
Episode 204, Steps:   38, Total:  870.46, Leader:  908.28, [F0: -16.86, F1: -20.95] - ✓ success
Episode 205, Steps:   46, Total:  840.95, Leader:  876.70, [F0: -38.78, F1: 3.02] - ✓ success
Episode 206, Steps:   46, Total:  881.55, Leader:  885.87, [F0: -8.53, F1: 4.21] - ✓ success
Episode 207, Steps:   50, Total:  803.17, Leader:  850.50, [F0: -40.88, F1: -6.44] - ✓ success
Episode 208, Steps:   43, Total:  899.21, Leader:  902.94, [F0: -6.37, F1: 2.65] - ✓ success
Episode 209, Steps:   40, Total:  853.13, Leader:  892.91, [F0: -26.96, F1: -12.83] - ✓ success
Episode 210, Steps:   12, Total: -563.00, Leader: -550.76, [F0: -6.86, F1: -5.38] - ✗ failure
Episode 211, Steps:   48, Total:  855.35, Leader:  863.58, [F0: -4.58, F1: -3.64] - ✓ success
Episode 212, Steps:   63, Total:  780.17, Leader:  808.77, [F0: -32.41, F1: 3.81] - ✓ success
Episode 213, Steps:   48, Total:  838.14, Leader:  867.24, [F0: -18.83, F1: -10.27] - ✓ success
Episode 214, Steps:   37, Total:  890.21, Leader:  910.87, [F0: -8.87, F1: -11.79] - ✓ success
Episode 215, Steps:    7, Total: -538.86, Leader: -530.26, [F0: -4.38, F1: -4.23] - ✗ failure
Episode 216, Steps:    3, Total: -516.10, Leader: -512.74, [F0: -1.88, F1: -1.48] - ✗ failure
Episode 217, Steps:   41, Total:  894.88, Leader:  911.77, [F0: -22.96, F1: 6.07] - ✓ success
Episode 218, Steps:   40, Total:  868.10, Leader:  898.40, [F0: -16.13, F1: -14.17] - ✓ success
Episode 219, Steps:   38, Total:  899.23, Leader:  913.25, [F0: -5.40, F1: -8.62] - ✓ success
Episode 220, Steps:   60, Total:  770.50, Leader:  793.01, [F0: -9.24, F1: -13.27] - ✓ success
  💾 模型已保存 (episode 220)
Episode 221, Steps:   46, Total:  833.98, Leader:  879.98, [F0: -38.64, F1: -7.35] - ✓ success
Episode 222, Steps:  531, Total: -1002.69, Leader: -847.84, [F0: -81.66, F1: -73.19] - ✓ success
Episode 223, Steps:   67, Total:  685.13, Leader:  762.76, [F0: -32.24, F1: -45.40] - ✓ success
Episode 224, Steps:   43, Total:  834.23, Leader:  886.99, [F0: -37.57, F1: -15.18] - ✓ success
Episode 225, Steps:   34, Total:  881.24, Leader:  925.22, [F0: -29.67, F1: -14.31] - ✓ success
Episode 226, Steps:   50, Total:  892.68, Leader:  881.53, [F0: 1.56, F1: 9.59] - ✓ success
Episode 227, Steps:   36, Total:  866.78, Leader:  922.52, [F0: -33.92, F1: -21.83] - ✓ success
Episode 228, Steps:   33, Total:  923.08, Leader:  934.76, [F0: -6.91, F1: -4.78] - ✓ success
Episode 229, Steps:   53, Total:  781.24, Leader:  839.68, [F0: -41.74, F1: -16.70] - ✓ success
Episode 230, Steps:    4, Total: -523.64, Leader: -518.46, [F0: -3.01, F1: -2.17] - ✗ failure
Episode 231, Steps:   48, Total:  825.53, Leader:  871.46, [F0: -38.75, F1: -7.19] - ✓ success
Episode 232, Steps:   46, Total:  904.07, Leader:  898.76, [F0: 0.53, F1: 4.77] - ✓ success
Episode 233, Steps:   54, Total:  810.27, Leader:  852.94, [F0: -42.88, F1: 0.22] - ✓ success
Episode 234, Steps:   39, Total:  892.38, Leader:  910.76, [F0: -12.88, F1: -5.50] - ✓ success
Episode 235, Steps:   41, Total:  873.93, Leader:  895.75, [F0: -20.33, F1: -1.49] - ✓ success
Episode 236, Steps:   38, Total:  899.54, Leader:  912.59, [F0: -7.20, F1: -5.84] - ✓ success
Episode 237, Steps:   74, Total:  452.37, Leader:  548.08, [F0: -38.63, F1: -57.08] - ✓ success
Episode 238, Steps:   68, Total:  665.72, Leader:  733.73, [F0: -35.24, F1: -32.77] - ✓ success
Episode 239, Steps:   37, Total:  881.01, Leader:  915.12, [F0: -18.34, F1: -15.77] - ✓ success
Episode 240, Steps:   35, Total:  896.55, Leader:  911.67, [F0: -6.65, F1: -8.47] - ✓ success
  💾 模型已保存 (episode 240)
