📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_203720/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |    Steps     |    Status   
  📊 统计 [Ep 120]: Actor Loss=12.5837, Critic Loss=289.7660, Alpha=0.2048, TD-error=10.5904, Beta=1.0000
    121      |    542.58    |    -56.24    |    -92.96    |    -93.42    |      53      |  ✅ Success  
    122      |    594.73    |    -72.68    |    -62.75    |    -65.72    |      53      |  ✅ Success  
    123      |   -1378.98   |   -568.62    |   -465.52    |   -573.44    |     362      |  ✅ Success  
    124      |   -7762.70   |   -1585.62   |   -1660.69   |   -1522.46   |     1000     | ⏱️  Timeout 
    125      |    278.27    |   -109.50    |   -165.70    |   -116.46    |      87      |  ✅ Success  
    126      |   -2407.43   |   -479.16    |   -810.45    |   -389.83    |     301      |  ✅ Success  
    127      |   -676.63    |   -372.23    |   -490.74    |   -342.08    |     276      |  ✅ Success  
    128      |    577.19    |    -69.88    |    -94.81    |    -40.22    |      52      |  ✅ Success  
    129      |    695.68    |    -58.46    |    -43.24    |    -47.50    |      39      |  ✅ Success  
    130      |   -1023.78   |   -384.05    |   -476.33    |   -432.12    |     316      |  ✅ Success  
  📊 统计 [Ep 130]: Actor Loss=13.1701, Critic Loss=226.1360, Alpha=0.1675, TD-error=8.9099, Beta=1.0000
    131      |    425.13    |    -97.89    |    -96.87    |   -103.13    |      69      |  ✅ Success  
    132      |   -1962.96   |   -436.28    |   -382.52    |   -290.37    |     258      |  ✅ Success  
    133      |    635.21    |    -62.10    |    -63.38    |    -51.29    |      46      |  ✅ Success  
    134      |    76.55     |   -136.05    |   -148.64    |   -109.48    |     114      |  ✅ Success  
    135      |   -3095.22   |   -555.25    |   -466.99    |   -584.31    |     319      |  ✅ Success  
    136      |   -3664.87   |   -694.47    |   -746.39    |   -670.65    |     454      |  ✅ Success  
    137      |    408.96    |   -110.16    |   -109.15    |    -73.44    |      69      |  ✅ Success  
    138      |   -288.60    |   -199.97    |   -154.54    |   -262.77    |     141      |  ✅ Success  
    139      |    797.81    |    -27.26    |    -35.23    |    -28.22    |      30      |  ✅ Success  
    140      |  -10067.36   |   -1189.15   |   -1306.66   |   -2665.05   |     828      |  ✅ Success  
  📊 统计 [Ep 140]: Actor Loss=10.3224, Critic Loss=222.6348, Alpha=0.1770, TD-error=8.9083, Beta=1.0000
    141      |   -1110.19   |   -276.43    |   -378.60    |   -315.93    |     166      |  ✅ Success  
    142      |   -901.51    |    -51.55    |    -36.73    |    -46.34    |      41      |  ❌ Failure  
    143      |   -665.75    |    -23.89    |    -17.52    |    -29.74    |      19      |  ❌ Failure  
    144      |    -15.03    |   -212.75    |   -112.10    |   -135.66    |     124      |  ✅ Success  
    145      |    468.43    |    -79.67    |    -78.22    |    -65.50    |      65      |  ✅ Success  
    146      |    144.62    |   -156.80    |   -151.75    |   -100.52    |     100      |  ✅ Success  
    147      |    770.92    |    -34.70    |    -32.15    |    -34.45    |      31      |  ✅ Success  
    148      |   -182.95    |   -177.70    |   -139.48    |   -190.65    |     129      |  ✅ Success  
    149      |    -19.39    |   -152.19    |   -179.32    |   -209.80    |     122      |  ✅ Success  
    150      |   -1972.14   |   -171.90    |   -157.58    |   -132.01    |     121      |  ❌ Failure  
  📊 统计 [Ep 150]: Actor Loss=6.6472, Critic Loss=244.5188, Alpha=0.1867, TD-error=9.8164, Beta=1.0000
    151      |    201.96    |   -103.12    |   -126.80    |    -90.41    |      87      |  ✅ Success  
    152      |  -12058.61   |   -1535.32   |   -1518.05   |   -1246.27   |     1000     | ⏱️  Timeout 
    153      |   -280.23    |   -198.86    |   -152.67    |   -207.77    |     128      |  ✅ Success  
    154      |    -95.54    |   -193.97    |   -132.18    |   -218.72    |     121      |  ✅ Success  
    155      |   -1589.26   |   -405.08    |   -436.40    |   -747.07    |     283      |  ✅ Success  
    156      |   -867.29    |   -345.18    |   -427.42    |   -417.35    |     257      |  ✅ Success  
    157      |   -1002.53   |    -57.95    |    -57.50    |   -115.14    |      52      |  ❌ Failure  
    158      |   -3791.73   |   -649.69    |   -755.43    |   -527.30    |     419      |  ✅ Success  
    159      |    448.27    |    -65.21    |    -78.56    |    -69.35    |      71      |  ✅ Success  
    160      |    604.26    |    -85.52    |    -58.76    |    -50.82    |      46      |  ✅ Success  
  📊 统计 [Ep 160]: Actor Loss=6.3226, Critic Loss=387.2857, Alpha=0.1766, TD-error=11.5602, Beta=1.0000
    161      |   -1771.09   |   -224.60    |   -133.44    |   -174.75    |     115      |  ❌ Failure  
    162      |   -164.64    |   -253.44    |   -221.46    |   -324.42    |     191      |  ✅ Success  
    163      |   -195.41    |   -173.38    |   -139.38    |   -153.41    |     103      |  ✅ Success  
    164      |   -1367.20   |   -429.18    |   -449.24    |   -553.98    |     284      |  ✅ Success  
    165      |    677.33    |    -52.82    |    -43.84    |    -37.86    |      38      |  ✅ Success  
    166      |   -546.00    |   -244.76    |   -158.02    |   -168.45    |     126      |  ✅ Success  
    167      |   -215.16    |   -146.19    |   -172.57    |   -148.03    |     117      |  ✅ Success  
    168      |    539.61    |    -53.70    |    -70.90    |    -78.03    |      51      |  ✅ Success  
    169      |   -1207.67   |   -281.63    |   -281.81    |   -377.85    |     169      |  ✅ Success  
    170      |    302.62    |   -108.05    |    -86.73    |   -140.30    |      79      |  ✅ Success  
  📊 统计 [Ep 170]: Actor Loss=10.4920, Critic Loss=329.3141, Alpha=0.2056, TD-error=12.3034, Beta=1.0000
    171      |   -3914.25   |   -828.05    |   -635.87    |   -564.59    |     373      |  ✅ Success  
    172      |   -607.18    |   -257.60    |   -336.62    |   -245.62    |     202      |  ✅ Success  
    173      |   -2726.29   |   -550.88    |   -414.02    |   -434.14    |     287      |  ✅ Success  
    174      |   -219.50    |   -163.84    |   -130.93    |   -163.16    |     108      |  ✅ Success  
    175      |   -2818.44   |   -590.81    |   -483.63    |   -461.55    |     296      |  ✅ Success  
    176      |   -1129.36   |   -281.96    |   -328.63    |   -205.89    |     179      |  ✅ Success  
    177      |    679.91    |    -53.99    |    -48.88    |    -42.60    |      39      |  ✅ Success  
    178      |   -1913.11   |   -476.72    |   -577.15    |   -599.17    |     301      |  ✅ Success  
    179      |   -962.67    |   -298.17    |   -279.73    |   -253.91    |     171      |  ✅ Success  
    180      |   -3245.24   |   -654.72    |   -511.41    |   -472.00    |     397      |  ✅ Success  
  📊 统计 [Ep 180]: Actor Loss=5.3859, Critic Loss=398.8543, Alpha=0.2333, TD-error=12.4261, Beta=1.0000
    181      |    585.79    |    -67.46    |    -59.95    |    -62.79    |      51      |  ✅ Success  
    182      |   -3424.32   |   -613.60    |   -703.88    |   -708.24    |     360      |  ✅ Success  
    183      |   -4536.47   |   -485.69    |   -424.20    |   -559.52    |     289      |  ❌ Failure  
    184      |  -14474.63   |   -2229.75   |   -1552.40   |   -1635.71   |     1000     | ⏱️  Timeout 
    185      |    94.61     |   -101.31    |   -106.27    |   -101.12    |      93      |  ✅ Success  
    186      |    569.31    |   -104.17    |    -69.45    |    -71.14    |      62      |  ✅ Success  
    187      |   -540.76    |    -4.58     |    -5.57     |    -7.74     |      5       |  ❌ Failure  
    188      |   -6408.70   |   -1123.81   |   -1013.12   |   -1218.46   |     757      |  ✅ Success  
    189      |   -1269.46   |   -395.43    |   -301.81    |   -195.66    |     188      |  ✅ Success  
    190      |    673.72    |    -51.36    |    -72.38    |    -41.51    |      41      |  ✅ Success  
  📊 统计 [Ep 190]: Actor Loss=3.6578, Critic Loss=432.5944, Alpha=0.2313, TD-error=11.1290, Beta=1.0000
    191      |    776.84    |    -41.49    |    -32.98    |    -31.60    |      33      |  ✅ Success  
    192      |    401.04    |    -80.14    |    -84.15    |    -83.39    |      64      |  ✅ Success  
    193      |    736.51    |    -34.02    |    -39.70    |    -43.37    |      37      |  ✅ Success  
    194      |    567.70    |    -56.68    |    -62.88    |    -48.67    |      51      |  ✅ Success  
    195      |  -12423.51   |   -1497.98   |   -1876.04   |   -1745.76   |     1000     | ⏱️  Timeout 
    196      |    457.57    |    -89.11    |   -100.95    |    -99.28    |      88      |  ✅ Success  
    197      |   -1522.15   |   -359.94    |   -340.30    |   -454.30    |     243      |  ✅ Success  
    198      |    609.36    |    -46.35    |    -55.81    |    -52.04    |      50      |  ✅ Success  
    199      |    731.55    |    -46.74    |    -38.14    |    -38.16    |      34      |  ✅ Success  
    200      |    227.04    |   -100.90    |   -101.88    |    -91.13    |      74      |  ✅ Success  
  📊 统计 [Ep 200]: Actor Loss=0.4364, Critic Loss=409.9854, Alpha=0.2329, TD-error=13.0592, Beta=1.0000
    201      |    555.95    |    -65.96    |    -62.67    |   -148.04    |      72      |  ✅ Success  
    202      |    759.14    |    -29.57    |    -53.65    |    -40.25    |      35      |  ✅ Success  
    203      |   -4146.49   |   -653.67    |   -547.52    |   -638.36    |     408      |  ✅ Success  
    204      |   -5348.85   |   -839.57    |   -824.40    |   -835.17    |     522      |  ✅ Success  
    205      |   -608.15    |   -210.47    |   -261.84    |   -244.76    |     157      |  ✅ Success  
    206      |    332.06    |    -76.94    |    -86.84    |    -84.07    |      70      |  ✅ Success  
    207      |    574.48    |    -72.13    |    -59.89    |    -93.56    |      51      |  ✅ Success  
    208      |    635.25    |    -45.25    |    -58.94    |    -50.68    |      48      |  ✅ Success  
    209      |    793.30    |    -29.47    |    -32.80    |    -34.58    |      31      |  ✅ Success  
    210      |    289.91    |   -100.35    |   -118.79    |    -80.96    |      77      |  ✅ Success  
  📊 统计 [Ep 210]: Actor Loss=-4.8027, Critic Loss=398.1263, Alpha=0.2293, TD-error=12.4173, Beta=1.0000
    211      |    712.41    |    -36.51    |    -35.32    |    -46.72    |      37      |  ✅ Success  
    212      |    624.14    |    -40.27    |    -59.55    |    -63.07    |      47      |  ✅ Success  
    213      |    47.41     |   -119.29    |   -175.14    |    -85.88    |     106      |  ✅ Success  
    214      |    505.51    |    -52.43    |    -96.89    |    -68.63    |      52      |  ✅ Success  
    215      |    779.24    |    -33.34    |    -44.11    |    -32.74    |      37      |  ✅ Success  
    216      |    669.00    |    -35.80    |    -43.45    |    -81.53    |      41      |  ✅ Success  
    217      |   -1865.78   |   -368.12    |   -308.18    |   -380.73    |     235      |  ✅ Success  
    218      |   -2329.92   |   -476.76    |   -349.58    |   -433.98    |     268      |  ✅ Success  
    219      |    -45.14    |   -123.28    |   -145.91    |   -122.17    |     112      |  ✅ Success  
    220      |    563.13    |    -48.64    |   -181.56    |    -54.77    |      56      |  ✅ Success  
  📊 统计 [Ep 220]: Actor Loss=-21.4924, Critic Loss=477.9104, Alpha=0.2403, TD-error=14.2435, Beta=1.0000
    221      |    711.95    |    -37.44    |    -42.35    |    -45.31    |      40      |  ✅ Success  
    222      |    715.55    |    -30.53    |    -43.22    |    -37.66    |      38      |  ✅ Success  
    223      |    731.33    |    -45.76    |    -43.23    |    -39.97    |      37      |  ✅ Success  
    224      |    -32.47    |   -158.59    |   -130.82    |   -112.97    |     112      |  ✅ Success  
    225      |   -321.82    |   -169.53    |   -164.78    |   -139.77    |     138      |  ✅ Success  
    226      |    562.23    |    -56.29    |    -60.56    |    -62.06    |      64      |  ✅ Success  
    227      |    506.02    |    -67.09    |    -94.64    |    -55.33    |      69      |  ✅ Success  
