
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 3 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/training_20251025_160828.log
============================================================

Episode 117, Steps:   22, Total:  936.59, Leader:  950.70, [F0: -2.06, F1: -9.79, F2: -2.26] - ✓ success
Episode 118, Steps:   70, Total:  719.06, Leader:  868.29, [F0: -22.41, F1: -16.14, F2: -110.68] - ✓ success
Episode 119, Steps:   48, Total:  681.45, Leader:  783.27, [F0: -34.18, F1: -31.32, F2: -36.32] - ✓ success
Episode 120, Steps:   43, Total:  816.40, Leader:  892.43, [F0: -17.60, F1: -3.06, F2: -55.37] - ✓ success
Episode 121, Steps:   20, Total:  966.40, Leader:  961.10, [F0: -2.73, F1: 11.24, F2: -3.22] - ✓ success
Episode 122, Steps:   32, Total:  925.50, Leader:  926.39, [F0: 1.59, F1: 0.53, F2: -3.01] - ✓ success
Episode 123, Steps:   56, Total:  701.87, Leader:  817.14, [F0: -29.52, F1: -24.77, F2: -60.97] - ✓ success
Episode 124, Steps:   65, Total:  670.52, Leader:  820.28, [F0: -37.53, F1: -39.29, F2: -72.95] - ✓ success
Episode 125, Steps:   56, Total:  794.63, Leader:  873.27, [F0: 0.00, F1: -21.29, F2: -57.35] - ✓ success
Episode 126, Steps:   27, Total:  962.52, Leader:  949.27, [F0: 4.96, F1: -1.32, F2: 9.61] - ✓ success
Episode 127, Steps:   26, Total:  893.71, Leader:  930.98, [F0: -16.54, F1: -11.48, F2: -9.25] - ✓ success
Episode 128, Steps:   49, Total:  796.09, Leader:  904.56, [F0: -27.97, F1: -20.77, F2: -59.73] - ✓ success
Episode 129, Steps:   34, Total:  877.96, Leader:  929.52, [F0: -11.69, F1: -19.79, F2: -20.08] - ✓ success
Episode 130, Steps:   20, Total:  934.15, Leader:  956.66, [F0: 0.12, F1: -11.35, F2: -11.28] - ✓ success
Episode 131, Steps:   42, Total:  796.32, Leader:  888.58, [F0: -15.75, F1: -31.29, F2: -45.22] - ✓ success
Episode 132, Steps:   13, Total: -589.57, Leader: -555.85, [F0: -2.10, F1: -5.68, F2: -25.95] - ✗ failure
Episode 133, Steps:   42, Total:  794.74, Leader:  871.56, [F0: -22.78, F1: -23.92, F2: -30.12] - ✓ success
Episode 134, Steps:  118, Total:  333.97, Leader:  601.45, [F0: -76.55, F1: -52.17, F2: -138.75] - ✓ success
Episode 135, Steps:   31, Total:  918.45, Leader:  924.69, [F0: 18.42, F1: -2.66, F2: -21.99] - ✓ success
Episode 136, Steps:   58, Total:  782.20, Leader:  868.35, [F0: -22.59, F1: -17.45, F2: -46.11] - ✓ success
Episode 137, Steps:    6, Total: -542.22, Leader: -530.93, [F0: -3.96, F1: -4.03, F2: -3.30] - ✗ failure
Episode 138, Steps:   70, Total:  634.19, Leader:  799.16, [F0: -45.45, F1: -50.76, F2: -68.75] - ✓ success
Episode 139, Steps:   37, Total:  730.04, Leader:  877.95, [F0: -114.75, F1: -19.69, F2: -13.46] - ✓ success
Episode 140, Steps:   20, Total:  892.08, Leader:  952.66, [F0: -38.69, F1: -8.33, F2: -13.56] - ✓ success
Episode 141, Steps:   42, Total:  784.64, Leader:  869.09, [F0: -25.95, F1: -30.42, F2: -28.09] - ✓ success
Episode 142, Steps:    7, Total: -550.44, Leader: -533.01, [F0: -4.80, F1: -6.84, F2: -5.79] - ✗ failure
Episode 143, Steps:   11, Total: -572.45, Leader: -542.91, [F0: 0.90, F1: -7.71, F2: -22.73] - ✗ failure
Episode 144, Steps:   90, Total:  612.89, Leader:  756.48, [F0: -41.01, F1: -55.64, F2: -46.94] - ✓ success
Episode 145, Steps:   23, Total:  929.37, Leader:  945.51, [F0: -0.88, F1: -0.65, F2: -14.61] - ✓ success
Episode 146, Steps:   51, Total:  766.93, Leader:  889.15, [F0: -45.47, F1: -28.36, F2: -48.39] - ✓ success
Episode 147, Steps:   60, Total:  713.29, Leader:  837.21, [F0: -30.78, F1: -22.77, F2: -70.37] - ✓ success
Episode 148, Steps:   12, Total: -578.23, Leader: -540.67, [F0: -6.11, F1: -4.78, F2: -26.67] - ✗ failure
Episode 149, Steps:   45, Total:  739.41, Leader:  833.85, [F0: -12.02, F1: -44.23, F2: -38.19] - ✓ success
