
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 4 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_20251025_161652.log
============================================================

Episode  99, Steps:   55, Total:  755.43, Leader:  857.24, [F0: -17.47, F1: -14.33, F2: -35.85, F3: -34.17] - ✓ success
Episode 100, Steps:   61, Total:  605.35, Leader:  830.37, [F0: -16.70, F1: -52.21, F2: -47.35, F3: -108.76] - ✓ success
Episode 101, Steps:    9, Total: -558.33, Leader: -532.32, [F0: -4.80, F1: -16.99, F2: -4.30, F3: 0.09] - ✗ failure
Episode 102, Steps:   44, Total:  799.69, Leader:  895.60, [F0: 3.21, F1: -13.71, F2: -47.26, F3: -38.15] - ✓ success
Episode 103, Steps:  459, Total: -2591.00, Leader: -828.19, [F0: -500.23, F1: -248.24, F2: -444.48, F3: -569.87] - ✓ success
Episode 104, Steps:   40, Total:  860.26, Leader:  908.73, [F0: 2.41, F1: -8.65, F2: -37.21, F3: -5.03] - ✓ success
Episode 105, Steps:  197, Total:   -2.80, Leader:  407.64, [F0: -72.31, F1: -90.16, F2: -197.61, F3: -50.36] - ✓ success
Episode 106, Steps:   56, Total:  588.36, Leader:  783.45, [F0: -25.70, F1: -24.68, F2: -93.18, F3: -51.53] - ✓ success
Episode 107, Steps:    9, Total: -553.91, Leader: -536.04, [F0: -5.02, F1: -4.71, F2: -3.77, F3: -4.36] - ✗ failure
Episode 108, Steps:    5, Total: -532.44, Leader: -522.75, [F0: -2.49, F1: -2.94, F2: -2.08, F3: -2.18] - ✗ failure
Episode 109, Steps:   37, Total:  821.19, Leader:  899.38, [F0: -14.83, F1: 2.85, F2: -39.40, F3: -26.82] - ✓ success
Episode 110, Steps:   64, Total:  509.45, Leader:  743.70, [F0: -31.36, F1: -62.19, F2: -83.84, F3: -56.85] - ✓ success
Episode 111, Steps:  111, Total:  341.14, Leader:  609.54, [F0: -92.51, F1: -65.77, F2: -62.30, F3: -47.84] - ✓ success
Episode 112, Steps:   90, Total:  664.15, Leader:  831.44, [F0: -18.31, F1: -11.39, F2: -68.37, F3: -69.23] - ✓ success
Episode 113, Steps:   20, Total: -616.81, Leader: -579.94, [F0: -12.66, F1: -9.65, F2: -6.99, F3: -7.58] - ✗ failure
Episode 114, Steps:   53, Total:  696.70, Leader:  825.97, [F0: -19.00, F1: -26.20, F2: -45.89, F3: -38.17] - ✓ success
Episode 115, Steps:   78, Total:  630.84, Leader:  787.73, [F0: -7.63, F1: -20.79, F2: -19.01, F3: -109.46] - ✓ success
Episode 116, Steps:   99, Total:  177.34, Leader:  498.84, [F0: -116.99, F1: -65.87, F2: -59.53, F3: -79.11] - ✓ success
Episode 117, Steps:   40, Total:  808.94, Leader:  890.62, [F0: -8.23, F1: -19.67, F2: -53.25, F3: -0.54] - ✓ success
Episode 118, Steps:   38, Total:  826.45, Leader:  906.51, [F0: -5.27, F1: -4.36, F2: -37.05, F3: -33.38] - ✓ success
Episode 119, Steps:   48, Total:  648.36, Leader:  814.74, [F0: -44.46, F1: -24.31, F2: -50.92, F3: -46.69] - ✓ success
Episode 120, Steps:  224, Total:  152.98, Leader:  427.99, [F0: -77.19, F1: -56.23, F2: -85.07, F3: -56.52] - ✓ success
